Week,DJI,DJV,S&P,FTSE,FTV,STI,STIV,SG/D,P/D,SGPRIME,UKPRIME,USPRIME,USINF,UKINF,SGINF,DJI_Forecast,DJV_Forecast,S&P_Forecast,FTSE_Forecast,FTV_Forecast,STI_Forecast,STIV_Forecast,SG/D_Forecast,P/D_Forecast,SGPRIME_Forecast,UKPRIME_Forecast,USPRIME_Forecast,USINF_Forecast,UKINF_Forecast,SGINF_Forecast
19,2268.98,69939.7,290.31,1979.4,1151900.0,1070.9,247457.0,0.465,1.589,5.5,11.5,7.5,3.04,4.03,-0.7,2289.7807488250733,87824.334765625,293.1053381538391,1991.4572605133058,1230981.3203125,1095.3691848754884,1095.3691848754884,0.4647751509654336,1.5932549660429358,5.44409054517746,11.50159215927124,7.541104182600975,3.1031069839000702,4.059846955090761,4.059846955090761
20,2286.93,75042.7,292.78,2006.6,965471.0,1027.91,144076.0,0.4662,1.6065,5.5,11.5,7.5,3.04,4.03,-0.7,2290.356007270813,87414.991015625,292.69252870857713,2007.054576253891,950124.4931640625,1034.8617850875855,1034.8617850875855,0.4669537807105109,1.6142472031116486,5.488656714558601,11.471450567245483,7.5212251376360655,3.076942344158888,3.9882378380000594,3.9882378380000594
21,2363.49,116587.6,300.38,2042.9,1069304.0,1079.9,163249.0,0.4676,1.6,5.5,11.0,7.5,3.04,4.03,-0.7,2351.8527595901487,121566.86806640626,298.3427797603607,2036.31672372818,1036614.009765625,1074.2219146728517,1074.2219146728517,0.4688758594239131,1.6095526790246368,5.510131970047951,10.946169555187225,7.5154092302545905,3.076293290555477,4.001023941412568,4.001023941412568
22,2316.05,106527.4,292.39,1973.1,890876.0,1043.9,115471.0,0.4677,1.5930000000000002,5.5,11.0,7.625,3.81,4.2,0.0,2330.5951669692995,92656.9546875,294.1349380159378,1993.5059619903564,930886.41796875,1058.4444259643556,1058.4444259643556,0.46820579046364874,1.5917879879772665,5.467610314488411,10.929971277713776,7.631836771499366,3.8570178797841073,4.165820692479611,4.165820692479611
23,2372.16,121585.3,297.26,1976.7,754003.0,1085.4,107208.0,0.467,1.6158,5.5,11.0,7.75,3.81,4.2,0.0,2386.8468028640746,120758.17554931641,299.4709360694885,1987.367483329773,824970.3671875,1100.920612716675,1100.920612716675,0.46726664609322327,1.6223644476562737,5.441325485706329,10.968346536159515,7.777646137401462,3.8680012686550618,4.177425003424287,4.177425003424287
24,2282.95,150795.1,284.44,1922.2,889501.0,1094.76,199888.0,0.4682,1.6325,5.5,11.0,7.75,3.81,4.2,0.0,2285.9236449718474,150752.2884841919,284.69846603512764,1921.0531662225724,943270.41015625,1098.2081871128082,1098.2081871128082,0.4694903296155855,1.6439061571657658,5.510949149727821,10.969495296478271,7.77263673953712,3.8540054945647717,4.19363689403981,4.19363689403981
25,2285.94,102523.1,287.19,1955.7,889501.0,1132.5,182224.0,0.4683,1.63,5.5,11.0,7.75,3.81,4.2,0.0,2285.4718045318127,96029.85390625,287.25212747842073,1945.860538673401,930510.140625,1119.59778881073,1119.59778881073,0.47013488021139055,1.6424484412372111,5.5305453687906265,10.994209587574005,7.78733991086483,3.8495289175212384,4.252384376525879,4.252384376525879
26,2254.26,137004.1,284.57,2038.6,840841.0,1129.54,267424.0,0.4698,1.6605,5.5,11.0,7.75,3.81,4.2,0.0,2272.074720153809,141593.0306640625,286.9760163497925,2048.9168392181396,894674.6015625,1132.915458240509,1132.915458240509,0.47045938266925513,1.6640255388356746,5.480997517704964,10.962241113185883,7.77590043656528,3.867015534490347,4.2310840606689455,4.2310840606689455
27,2342.19,122521.9,295.47,2086.5,840841.0,1147.5,217869.0,0.4719,1.6869999999999998,5.5,10.5,8.0,3.8,4.19,0.47,2354.9502796554566,119249.34848632812,297.11285492897036,2092.1232585906982,843843.865234375,1152.8316407203674,1152.8316407203674,0.4725793421925977,1.6904346948377786,5.51798190176487,10.471477210521698,8.037169575691223,3.867409664392471,4.250068510472775,4.250068510472775
28,2329.68,148619.3,293.98,2163.4,1372064.0,1180.52,263847.0,0.4713,1.6693,5.5,10.0,8.0,3.8,4.19,0.47,2353.1985241699217,157156.3966796875,296.5384146976471,2181.5474475860597,1368284.2817382812,1201.5376219940185,1201.5376219940185,0.4716406850446481,1.667355869131349,5.517145201563835,9.983363091945648,8.030110416933894,3.8652264431118963,4.207941856756807,4.207941856756807
29,2215.87,78128.7,278.21,2174.0,1286260.0,1207.83,384339.0,0.473,1.6835,5.5,10.0,8.25,3.8,4.19,0.47,2247.8423300933837,74869.10649414062,281.37407632827757,2200.4383430480957,1246794.125,1235.493646697998,1235.493646697998,0.47400260507315395,1.6886847151480615,5.50215120613575,9.950555920600891,8.296731289476156,3.860112677514553,4.191093673752621,4.191093673752621
30,2295.81,76480.8,288.73,2145.7,1286260.0,1213.7,283074.0,0.4724,1.625,5.5,10.0,8.25,3.8,4.19,0.47,2307.0593782043456,84239.68916015625,290.3220152664185,2151.596467208862,1200582.75,1216.2252122879029,1216.2252122879029,0.4725985910057556,1.6296202689409256,5.5022610276937485,9.91696172952652,8.273760868236423,3.847429285943508,4.160689773559571,4.160689773559571
31,2320.69,82096.8,293.47,2235.4,1138541.0,1239.45,287101.0,0.4729,1.643,5.5,10.0,8.25,3.72,4.19,0.82,2308.4466833496094,82981.27644042969,292.190546245575,2229.017795944214,1059936.1328125,1233.5460307121277,1233.5460307121277,0.47299549690730636,1.6437920975331217,5.494085654616356,9.973471105098724,8.271060226485133,3.760410351008177,4.183282127194107,4.183282127194107
