week_num,is_trade,a_start,a_end,profit,hold_profit,trade_profit,as_start,as_end,ad_start,ad_end,ap_start,ap_end,trade_s_d,trade_s_p,trade_d_s,trade_d_p,trade_p_s,trade_p_d
0.0,1.0,32549.0,32573.925789857785,24.925789857785276,25.594705190858804,24.925789857785276,10000.0,10114.50035962442,10000.0,9972.619921386355,10000.0,9993.11325580774,0.0,0.0,43.17696131924682,0.0,19.84175729576764,0.0
1.0,1.0,32535.145158113624,32599.88041147872,64.73525336509556,65.42429680575515,64.73525336509556,10114.50035962442,10228.650202539866,9972.619921386355,9929.640860466303,9993.11325580774,9996.623312928148,0.0,0.0,58.707863703875795,0.0,9.449506400457087,0.0
2.0,1.0,32792.15598189021,32907.308601907374,115.15262001716474,115.31743452761293,115.15262001716474,10228.650202539866,10230.769100395592,9929.640860466303,9926.585850465097,9996.623312928148,10025.850333355698,0.0,9.672230573466516,0.0,18.7789735717615,0.0,0.0
3.0,1.0,32728.96455461966,32773.92962452992,44.965069910260354,45.54747152648997,44.965069910260354,10230.769100395592,10324.756077302296,9926.585850465097,9913.069971784991,10025.850333355698,10019.879120284877,0.0,0.0,29.21843275627971,0.0,18.960925283221307,0.0
4.0,1.0,32676.71371107566,32739.32115155618,62.6074404805222,63.23473955052032,62.6074404805222,10324.756077302296,10430.288313812956,9913.069971784991,9876.776530374025,10019.879120284877,10023.398578851138,0.0,0.0,51.938505756109,0.0,9.474816251473083,0.0
5.0,1.0,32794.66654971969,32874.84104591944,80.17449619975378,80.83272411278449,80.17449619975378,10430.288313812956,10544.67793950782,9876.776530374025,9834.210526300978,10023.398578851138,10026.9192736188,0.0,0.0,58.14364278892818,0.0,9.478144258010856,0.0
6.0,1.0,32894.29584679913,33008.79233508748,114.49648828835052,115.07471495922073,114.49648828835052,10544.67793950782,10525.77130540746,9834.210526300978,9791.827969195389,10026.9192736188,10090.797487941714,0.0,31.03775738742038,0.0,57.893060776854924,0.0,0.0
7.0,1.0,32790.97438306429,32810.338177406375,19.363794342083565,20.113185321490164,19.363794342083565,10525.77130540746,10506.898570949656,9791.827969195389,9894.523298436769,10090.797487941714,10061.045484982786,30.982106610261898,0.0,0.0,0.0,0.0,42.795083003799235
8.0,1.0,32917.83318698167,32898.33257560314,-19.500611378527537,-19.040774491812044,-19.500611378527537,10506.898570949656,10491.414649877357,9894.523298436769,9976.8545367776,10061.045484982786,10043.287450305808,27.575447752909497,0.0,0.0,0.0,0.0,30.778093310397427
9.0,1.0,32980.955428290006,32942.37942793532,-38.57600035468931,-38.31298445891298,-38.57600035468931,10491.414649877357,10483.877229661126,9976.8545367776,10035.666648508957,10043.287450305808,10037.305852007083,19.62025989697737,0.0,0.0,0.0,0.0,18.99390242337927
10.0,1.0,33144.978610449,33120.18620299196,-24.7924074570401,-24.495130660114228,-24.7924074570401,10483.877229661126,10555.31188032633,10035.666648508957,10039.901104494425,10037.305852007083,10030.489354072773,0.0,0.0,11.669001819376243,0.0,19.819965191233276,0.0
11.0,1.0,33260.23616010454,33310.51336117066,50.27720106612105,50.87494759973197,50.27720106612105,10555.31188032633,10650.177023089554,10039.901104494425,10011.351559966171,10030.489354072773,10034.012539458265,0.0,0.0,44.40777913099572,0.0,9.4848493081915,0.0
12.0,1.0,33173.67509336438,33257.78823941271,84.11314604833024,84.33866787505394,84.11314604833024,10650.177023089554,10652.383241584708,10011.351559966171,10008.271410384623,10034.012539458265,10063.662422439538,0.0,10.070827115583525,0.0,18.933505149287875,0.0,0.0
13.0,1.0,33289.00922743967,33391.69462248684,102.68539504717046,102.91958838064602,102.68539504717046,10652.383241584708,10654.589917105135,10008.271410384623,9999.651079156207,10063.662422439538,10096.793903941143,0.0,10.072913319878133,0.0,24.460031973012608,0.0,0.0
14.0,1.0,33327.468783532444,33389.26286193789,61.79407840544445,62.412329687831516,61.79407840544445,10654.589917105135,10656.797049745508,9999.651079156207,9956.555521890594,10096.793903941143,10151.81659703377,0.0,10.074999956336683,0.0,58.866993555270625,0.0,0.0
15.0,1.0,33404.99450890707,33480.1463912413,75.15188233423396,75.97267849014315,75.15188233423396,10656.797049745508,10637.689385798141,9956.555521890594,9902.315201538819,10151.81659703377,10223.365735601563,0.0,31.3677746493996,0.0,69.9258385993045,0.0,0.0
16.0,1.0,33454.43487984684,33544.79129561065,90.35641576381022,91.1202783262197,90.35641576381022,10637.689385798141,10618.615981940351,9902.315201538819,9843.8075573233,10223.365735601563,10297.62439842747,0.0,31.311532150459474,0.0,74.10048487177016,0.0,0.0
17.0,1.0,33673.064223854424,33769.17052733041,96.10630347598635,96.59885574867076,96.10630347598635,10618.615981940351,10620.815662464112,9843.8075573233,9801.38363983456,10297.62439842747,10351.689908758906,0.0,10.040982936626465,0.0,57.94955758448049,0.0,0.0
18.0,1.0,33838.62828990907,33935.93302490056,97.30473499148502,97.69006570933561,97.30473499148502,10620.815662464112,10623.015798658784,9801.38363983456,9773.087420569158,10351.689908758906,10396.692848711265,0.0,10.043062958603217,0.0,43.77703743267425,0.0,0.0
19.0,1.0,34290.109051707776,34373.623104813116,83.51405310534028,83.7369758377099,83.51405310534028,10623.015798658784,10625.216390618758,9773.087420569158,9770.080576693124,10396.692848711265,10426.241124336799,0.0,10.045143411463224,0.0,18.482899126400465,0.0,0.0
20.0,1.0,34425.471454714105,34546.53899125998,121.06753654587374,121.25314319593599,121.06753654587374,10625.216390618758,10627.41743843845,9770.080576693124,9767.074657919844,10426.241124336799,10455.74143680396,0.0,10.047224295295745,0.0,18.47721257212565,0.0,0.0
21.0,1.0,34711.51282365882,34860.08593255125,148.57310889242945,148.7192870209401,148.57310889242945,10627.41743843845,10629.618942212292,9767.074657919844,9763.943089200335,10455.74143680396,10485.201764798801,0.0,10.04930561019006,0.0,18.5979020341365,0.0,0.0
22.0,1.0,34973.77148766011,35124.05390158699,150.28241392687778,150.4748468577891,150.28241392687778,10629.618942212292,10631.820902034735,9763.943089200335,9749.079016103564,10485.201764798801,10521.414779401986,0.0,10.051387356235464,0.0,30.306861342890752,0.0,0.0
