week_num,is_trade,a_start,a_end,profit,hold_profit,trade_profit,as_start,as_end,ad_start,ad_end,ap_start,ap_end,trade_s_d,trade_s_p,trade_d_s,trade_d_p,trade_p_s,trade_p_d
0.0,0.0,32549.0,32574.59470519086,25.594705190858804,25.594705190858804,0.0,10000.0,10011.538461538461,10000.0,10015.865384615385,10000.0,10012.980769230768,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,32536.039711538455,32601.429285201048,65.38957366259274,65.38957366259274,0.0,10011.538461538461,10023.090236686388,10015.865384615385,10031.75594027367,10012.980769230768,10025.978388498517,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,32794.698812976145,32910.108132247056,115.40931927091151,115.40931927091151,0.0,10023.090236686388,10034.65534080564,10031.75594027367,10047.671706909681,10025.978388498517,10038.992879675894,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,32731.723340692413,32777.28124788155,45.5579071891334,45.5579071891334,0.0,10034.65534080564,10046.2337892758,10047.671706909681,10063.612724521607,10038.992879675894,10052.024264663934,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,32680.60642362023,32743.73195381004,63.12553018980907,63.12553018980907,0.0,10046.2337892758,10057.825597494195,10063.612724521607,10079.579033171089,10052.024264663934,10065.072565392104,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,32799.38713546141,32879.980868399194,80.59373293778481,80.59373293778481,0.0,10057.825597494195,10069.430780875919,10079.579033171089,10095.570672983333,10065.072565392104,10078.137803818332,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,32899.26235774049,33014.057773241235,114.79541550074646,114.79541550074646,0.0,10069.430780875919,10081.04935485385,10095.570672983333,10111.587684147202,10078.137803818332,10091.220001929056,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,32797.54579884429,32817.80885310554,20.263054261253274,20.263054261253274,0.0,10081.04935485385,10092.681334878682,10111.587684147202,10127.630106915321,10091.220001929056,10104.31918173925,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,32924.84239587758,32905.987817106725,-18.854578770857188,-18.854578770857188,0.0,10092.681334878682,10104.326736418925,10127.630106915321,10143.697981604178,10104.31918173925,10117.43536529247,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,32988.690508157975,32950.2575348555,-38.432973302478786,-38.432973302478786,0.0,10104.326736418925,10115.985574960945,10143.697981604178,10159.791348594224,10117.43536529247,10130.568574660876,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,33152.90198169008,33127.83718548488,-25.064796205202583,-25.064796205202583,0.0,10115.985574960945,10127.657866008976,10159.791348594224,10175.910248329976,10130.568574660876,10143.71883194529,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,33269.86168743721,33320.76516107138,50.90347363417095,50.90347363417095,0.0,10127.657866008976,10139.34362508514,10175.910248329976,10192.054721320115,10143.71883194529,10156.886159275218,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,33182.92055833193,33267.273934596255,84.35337626432738,84.35337626432738,0.0,10139.34362508514,10151.042867729468,10192.054721320115,10208.224808137595,10156.886159275218,10170.070578808893,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,33299.07766866703,33402.20275178812,103.12508312109276,103.12508312109276,0.0,10151.042867729468,10162.755609499924,10208.224808137595,10224.420549419738,10170.070578808893,10183.272112733306,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,33338.10350621425,33400.6514459637,62.54793974944914,62.54793974944914,0.0,10162.755609499924,10174.481865972422,10224.420549419738,10240.641985868337,10183.272112733306,10196.490783264257,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,33416.95154825952,33492.875393115144,75.9238448556207,75.9238448556207,0.0,10174.481865972422,10186.221652740851,10240.641985868337,10256.889158249764,10196.490783264257,10209.726612646378,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,33467.3404329673,33558.311146231594,90.97071326429432,90.97071326429432,0.0,10186.221652740851,10197.97498541709,10256.889158249764,10273.162107395065,10209.726612646378,10222.979623153178,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,33686.540622463865,33782.77247504759,96.23185258372541,96.23185258372541,0.0,10197.97498541709,10209.741879631032,10273.162107395065,10289.460874200067,10222.979623153178,10236.249837087078,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,33851.98970434211,33949.14233453221,97.15263019010308,97.15263019010308,0.0,10209.741879631032,10221.522351030606,10289.460874200067,10305.785499625483,10236.249837087078,10249.537276779449,0.0,0.0,0.0,0.0,0.0,0.0
